,price
0,415000.0
1,880000.0
2,590000.0
3,699000.0
4,1378000.0
5,620000.0
6,999000.0
7,669000.0
8,1149500.0
9,402000.0
11,655000.0
12,315000.0
13,990000.0
14,388000.0
15,668316.0
16,462517.0
18,269000.0
19,590000.0
20,797500.0
21,939000.0
22,355000.0
23,699000.0
25,436275.0
26,376000.0
27,650000.0
29,680000.0
30,315315.0
31,439000.0
32,939000.0
33,720000.0
34,579000.0
35,549850.0
36,340000.0
38,730000.0
39,583000.0
40,635000.0
41,1299000.0
42,665000.0
43,835000.0
44,715000.0
47,820000.0
48,599000.0
49,489000.0
50,700000.0
51,1249000.0
52,475000.0
53,849000.0
54,380000.0
55,699000.0
56,480000.0
57,534200.0
58,1199000.0
59,283000.0
60,1249000.0
61,699921.0
62,219000.0
63,599900.0
64,963200.0
65,840000.0
66,560000.0
67,728676.0
68,777000.0
69,538000.0
70,579000.0
71,534820.0
72,460404.0
73,455000.0
74,485000.0
75,582000.0
76,251600.0
77,699900.0
78,555000.0
79,750000.0
80,1199000.0
81,454900.0
82,529000.0
83,359000.0
84,389000.0
85,820000.0
86,799000.0
87,1150000.0
88,282000.0
89,359900.0
90,372900.0
91,324900.0
92,277900.0
93,459000.0
94,424000.0
95,699000.0
96,420000.0
97,1119000.0
98,699000.0
99,699000.0
100,506160.0
101,629000.0
102,545063.35
103,626546.68
104,617370.0
105,690000.0
106,920000.0
107,675000.0
108,396950.0
109,480000.0
110,385980.0
111,685000.0
113,436078.0
114,729000.0
115,635000.0
116,1499980.0
117,695000.0
118,947000.0
119,692282.0
120,535000.0
121,549000.0
122,674000.0
123,574000.0
124,619000.0
125,593000.0
127,695000.0
129,1499000.0
130,814396.0
132,415200.0
133,350000.0
134,475000.0
135,455000.0
136,615000.0
137,573216.0
138,486000.0
139,620000.0
140,980000.0
141,730000.0
142,779000.0
143,915000.0
144,849000.0
145,549000.0
146,750000.0
147,290000.0
148,829000.0
149,475000.0
150,585000.0
151,136000.0
152,534000.0
153,780000.0
154,630000.0
155,470000.0
156,604755.0
157,600000.0
158,330000.0
159,800000.0
160,450000.0
161,550000.0
162,459000.0
163,469000.0
164,895000.0
165,520000.0
166,549000.0
167,450000.0
168,440000.0
171,469000.0
172,699000.0
173,310000.0
175,847000.0
176,495000.0
177,1496000.0
178,289000.0
179,273000.0
180,575000.0
181,689000.0
182,1115000.0
183,852125.0
184,624757.0
185,776408.0
186,559000.0
187,365000.0
188,1334675.2
189,415122.0
190,669000.0
191,364504.0
192,278000.0
193,249000.0
194,470000.0
196,370000.0
197,579000.0
198,870000.0
199,399000.0
200,503734.0
201,854728.0
202,699000.0
203,360000.0
204,599000.0
205,589814.0
206,1337424.0
207,229333.5
208,384200.0
209,347136.0
210,499000.0
211,465836.0
212,759000.0
213,460000.0
214,519000.0
215,305370.0
216,610000.0
217,994560.0
218,740000.0
219,749000.0
220,769000.0
221,409000.0
222,671000.0
223,472068.0
224,1470000.0
225,990000.0
226,589000.0
228,297000.0
229,1120000.0
230,250000.0
231,390000.0
232,629000.0
233,730000.0
234,660000.0
235,689000.0
236,824000.0
237,1431167.0
238,330000.0
240,449000.0
241,1270000.0
242,1210000.0
243,689000.0
244,790000.0
245,385000.0
246,414134.0
247,729000.0
249,1155323.0
250,550000.0
251,1066633.0
252,940000.0
253,720000.0
254,1199000.0
255,520000.0
256,700000.0
257,1099000.0
258,549000.0
259,615000.0
260,338128.0
261,352334.0
262,620000.0
263,492450.0
265,770000.0
266,1050000.0
267,483000.0
268,1090000.0
269,342500.0
270,1375000.0
271,489000.0
272,457875.0
273,369000.0
274,250000.0
275,665000.0
276,439000.0
277,539000.0
278,349000.0
279,419000.0
280,527000.0
281,532097.0
283,523734.0
284,465000.0
285,520000.0
286,768868.0
287,279000.0
289,499000.0
290,668000.0
292,255000.0
293,590000.0
294,859000.0
295,637659.0
296,1100000.0
297,629000.0
298,799000.0
299,739368.0
300,779000.0
301,575000.0
302,665000.0
304,575000.0
305,719999.0
306,635000.0
307,485000.0
308,375000.0
309,620000.0
310,235000.0
311,799000.0
312,692000.0
313,419000.0
315,395000.0
316,732000.0
317,760000.0
318,960000.0
319,699000.0
320,1100000.0
321,363000.0
322,490418.4
323,195000.0
324,469000.0
325,680000.0
326,516212.0
327,354882.0
328,515000.0
329,609000.0
330,650000.0
331,516212.0
332,654947.0
333,550000.0
334,1079000.0
335,1050000.0
336,219000.0
337,1200000.0
338,510000.0
339,414999.9
340,285000.0
341,440000.0
342,1290000.0
343,1110000.0
344,759000.0
345,729000.0
346,799000.0
347,1079000.0
348,569000.0
349,799000.0
350,965000.0
351,570000.0
352,315000.0
353,530000.0
354,569000.0
356,942700.0
357,741742.0
358,899750.0
359,338489.0
360,404952.5
361,1345000.0
362,269900.0
363,660000.0
364,430000.0
365,563000.0
366,950000.0
367,344000.0
368,239000.0
369,1131000.0
370,179000.0
371,317000.0
372,890000.0
373,940000.0
374,690000.0
375,499000.0
376,830000.0
377,823000.0
379,679000.0
380,124000.0
381,1169910.0
382,709000.0
383,689000.0
384,849000.0
385,620000.0
386,549000.0
387,799000.0
388,939000.0
390,1149400.0
391,349000.0
392,900240.0
393,650000.0
395,899000.0
396,579515.0
397,568949.16
398,539000.0
399,619000.0
400,565000.0
401,699507.0
402,715000.0
403,439000.0
404,565000.0
405,419000.0
406,280000.0
407,837018.0
408,329000.0
409,539000.0
410,341500.0
411,640000.0
412,760000.0
413,1135000.0
414,550205.0
416,986000.0
418,420000.0
419,610000.0
420,760000.0
421,535755.0
422,490000.0
423,649000.0
424,749000.0
425,757000.0
426,908111.0
427,1070000.0
428,290000.0
429,1250000.0
430,640000.0
431,799000.0
432,492000.0
433,649000.0
434,916000.0
435,285900.0
436,309000.0
437,259000.0
438,600000.0
439,899999.0
440,634000.0
442,549000.0
443,258000.0
444,368000.0
445,799000.0
446,415000.0
